,k,Train_mean,Train_std,Test_mean,Test_std
0,1,1.0,0.0,0.8217245971138951,0.0
1,5,0.8511853805971453,0.0,0.7109954615865424,0.0
2,9,0.7821240762417233,0.0,0.6628529499687474,0.0
3,13,0.7346214993273816,0.0,0.6315324618854798,0.0
4,17,0.6998316998316998,0.0,0.607929994293013,0.0
5,21,0.6721174956469074,0.0,0.5892735820854961,0.0
6,25,0.6495047083282377,0.0,0.5738375411038943,0.0
7,29,0.6304559245735716,0.0,0.5603174171807485,0.0
8,33,0.6152564976094388,0.0,0.5485093893523929,0.0
9,37,0.6015071309188956,0.0,0.5382232247194064,0.0
10,41,0.5887128240069417,0.0,0.5299073294018534,0.0
11,45,0.5775432834256363,0.0,0.520694621844172,0.0
12,49,0.5666940372822725,0.0,0.5140092942359431,0.0
0,53,0.5570619100030865,0.0,0.5042530641084871,0.0
1,57,0.5475171357524299,0.0,0.498709133896785,0.0
2,61,0.5400979518626577,0.0,0.4915889882327364,0.0
3,65,0.5323642970701794,0.0,0.4846047232111313,0.0
4,69,0.5249276425747014,0.0,0.4790607929994293,0.0
5,73,0.5181199298846357,0.0,0.4733266298883061,0.0
6,77,0.5118712765771589,0.0,0.4688289806234204,0.0
7,81,0.5057682116505646,0.0,0.4653232600483735,0.0
8,85,0.4997175585410879,0.0,0.4600918553142919,0.0
9,89,0.493486375839317,0.0,0.4559474957197598,0.0
10,93,0.4881112528171352,0.0,0.4513954941978965,0.0
11,97,0.4827361297949533,0.0,0.4466260836481235,0.0
12,101,0.4778618308030072,0.0,0.4426855450172568,0.0
0,105,0.4740066504772387,0.0,0.4427942495312117,0.0
1,109,0.4695749401631754,0.0,0.4379976628529499,0.0
2,113,0.4649044649044649,0.0,0.4345462945348806,0.0
3,117,0.4608629314511667,0.0,0.4317879174932739,0.0
4,121,0.4566466919408096,0.0,0.4289208359377123,0.0
5,125,0.4528613940378646,0.0,0.4252928227844661,0.0
6,129,0.4491518020929785,0.0,0.421963747044596,0.0
7,133,0.4453897983309748,0.0,0.4183764980840829,0.0
8,137,0.4415229709347356,0.0,0.4154414762072995,0.0
9,141,0.4382734382734383,0.0,0.413647851727043,0.0
10,145,0.4349947879359644,0.0,0.4104682446938609,0.0
11,149,0.4313550784139019,0.0,0.4077913960377204,0.0
12,153,0.4285131932190755,0.0,0.4047612577112264,0.0
13,157,0.4253277194453665,0.0,0.403008397423703,0.0
14,161,0.4223693635458341,0.0,0.4010653042367584,0.0
15,165,0.4198011845070669,0.0,0.3979264613963095,0.0
16,169,0.417611535258594,0.0,0.3942984482430633,0.0
17,173,0.4149035913741796,0.0,0.391811832486344,0.0
18,177,0.4119102942632354,0.0,0.3894882735005571,0.0
19,181,0.409592527239586,0.0,0.3869065412941272,0.0
20,185,0.4073097014273485,0.0,0.3853982661630024,0.0
21,189,0.4041999336116983,0.0,0.3830475310487268,0.0
22,193,0.4017249311366958,0.0,0.3807511481914286,0.0
23,197,0.3987491046314576,0.0,0.3790390520966383,0.0
24,201,0.3965361612420436,0.0,0.3763350273120091,0.0
25,205,0.3942009236126883,0.0,0.3745414028317526,0.0
26,209,0.392331568802157,0.0,0.3730874799576052,0.0
27,213,0.3903573903573903,0.0,0.3716199690192135,0.0
28,217,0.3884705649411532,0.0,0.369309998097671,0.0
29,221,0.3863973863973864,0.0,0.3675027855531701,0.0
30,225,0.3846386787563258,0.0,0.3660624507432671,0.0
31,229,0.3826645003115591,0.0,0.3636437753077696,0.0
32,233,0.3807951455010278,0.0,0.361700682120825,0.0
33,237,0.3792286145227321,0.0,0.3602739353751664,0.0
34,241,0.3769865534571417,0.0,0.3594178873277713,0.0
35,245,0.3749424925895514,0.0,0.3573660896268718,0.0
36,249,0.3736671383730207,0.0,0.3563333967442998,0.0
0,253,0.3720481955776073,0.0,0.3521075087643014,0.0
1,269,0.365653953889248,0.0,0.3470255727369079,0.0
2,285,0.3599760070348305,0.0,0.3426773921787102,0.0
3,301,0.3547057076468841,0.0,0.336943229067587,0.0
4,317,0.3496741732035849,0.0,0.3314808272413512,0.0
5,333,0.3447299917888153,0.0,0.3269424137837323,0.0
6,349,0.3391743391743392,0.0,0.322974699024377,0.0
7,365,0.3351444527915116,0.0,0.3181917004103595,0.0
8,381,0.3314698020580373,0.0,0.3145772753213577,0.0
9,397,0.3270613858849153,0.0,0.311669429573063,0.0
10,413,0.3236604413075001,0.0,0.3085713509253471,0.0
11,429,0.3198867904750258,0.0,0.3049841019648341,0.0
12,445,0.3165499047851989,0.0,0.3018588471886295,0.0
13,461,0.3135100193923723,0.0,0.2995217001385982,0.0
14,477,0.3101789572377808,0.0,0.2965866782618148,0.0
15,493,0.3069177775060128,0.0,0.2948881702312688,0.0
16,509,0.3037090095913625,0.0,0.2914911541701769,0.0
17,525,0.3014785955962427,0.0,0.2902002880669619,0.0
18,541,0.2988114164584753,0.0,0.2876321439247765,0.0
19,557,0.296534414181473,0.0,0.2843438323776395,0.0
20,573,0.2943389413977649,0.0,0.2818436285566758,0.0
21,589,0.2916542916542916,0.0,0.279411365056934,0.0
22,605,0.289330701095407,0.0,0.2772372747778351,0.0
23,621,0.2867392279156985,0.0,0.2748865396635595,0.0
24,637,0.2847184611890494,0.0,0.2730113867978367,0.0
25,653,0.2825521060815179,0.0,0.271543875859445,0.0
26,669,0.2805779276367511,0.0,0.2695871946082561,0.0
27,685,0.2785105726282197,0.0,0.2682963285050411,0.0
28,701,0.2765655118596295,0.0,0.2668288175666494,0.0
29,717,0.2749523925994514,0.0,0.2652118379215697,0.0
30,733,0.2729898612251553,0.0,0.2634318015055575,0.0
31,749,0.2714466243878008,0.0,0.2619235263744327,0.0
32,765,0.2694025635202106,0.0,0.2604831915645297,0.0
33,781,0.2681039151627387,0.0,0.2598445525450444,0.0
34,797,0.2663160898455016,0.0,0.2579286354865885,0.0
35,813,0.264848558966206,0.0,0.2572628203386146,0.0
36,829,0.2629151452680864,0.0,0.2554556077941136,0.0
37,845,0.261470908529732,0.0,0.2543685626545642,0.0
38,861,0.2600965542142012,0.0,0.2529961681658831,0.0
39,877,0.258576611517788,0.0,0.2515286572274913,0.0
40,893,0.2574235515411986,0.0,0.2501698508030546,0.0
41,909,0.2557580204639028,0.0,0.2487974563143734,0.0
42,925,0.254325430796019,0.0,0.2472212408620268,0.0
43,941,0.2531374296080178,0.0,0.2459439628230562,0.0
44,957,0.2519261342790754,0.0,0.244829741555018,0.0
45,973,0.2509594274300156,0.0,0.2434029948093594,0.0
46,989,0.2494278376631317,0.0,0.2426420632116748,0.0
0,1039,0.2459744812685989,0.0,0.2407669103459521,0.0
1,1139,0.2399995341171811,0.0,0.2342174633801668,0.0
2,1239,0.2345079403902933,0.0,0.2288909421963747,0.0
3,1339,0.2302684067389949,0.0,0.2244068809957333,0.0
4,1439,0.2257085786497551,0.0,0.219814115281137,0.0
5,1539,0.2214923391393979,0.0,0.2163083947060901,0.0
6,1639,0.2177769236592766,0.0,0.2121776231758023,0.0
7,1739,0.2138460373754491,0.0,0.2094600103269288,0.0
8,1839,0.2106838577426812,0.0,0.206253227165258,0.0
9,1939,0.2076905606317371,0.0,0.2036714949588281,0.0
0,2339,0.1969810793340205,0.0,0.1924885180857135,0.0
1,2739,0.1883971883971884,0.0,0.1839959779329836,0.0
2,3139,0.1829521829521829,0.0,0.1790499225480338,0.0
3,3539,0.177885707297472,0.0,0.174810446503791,0.0
4,3939,0.173052173052173,0.0,0.1706117346522814,0.0
